[2026-07-04T14:03:52.996+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-04T14:03:53.092+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake_ecommerce.download_minio scheduled__2026-07-04T14:02:00+00:00 [queued]>
[2026-07-04T14:03:53.112+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake_ecommerce.download_minio scheduled__2026-07-04T14:02:00+00:00 [queued]>
[2026-07-04T14:03:53.113+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-07-04T14:03:53.158+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-07-04 14:02:00+00:00
[2026-07-04T14:03:53.224+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake_ecommerce', 'download_minio', 'scheduled__2026-07-04T14:02:00+00:00', '--job-id', '3', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake_dag.py', '--cfg-path', '/tmp/tmpyu3r68iz']
[2026-07-04T14:03:53.236+0000] {standard_task_runner.py:91} INFO - Job 3: Subtask download_minio
[2026-07-04T14:03:53.236+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=173) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-07-04T14:03:53.239+0000] {standard_task_runner.py:64} INFO - Started process 180 to run task
[2026-07-04T14:03:53.787+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake_ecommerce.download_minio scheduled__2026-07-04T14:02:00+00:00 [running]> on host 791512f83421
[2026-07-04T14:03:54.201+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake_ecommerce' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-07-04T14:02:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-07-04T14:02:00+00:00'
[2026-07-04T14:03:54.205+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-07-04T14:04:06.641+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190118474101.parquet -> /tmp/minio_downloads/customers_190118474101.parquet
[2026-07-04T14:04:06.693+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190118558805.parquet -> /tmp/minio_downloads/customers_190118558805.parquet
[2026-07-04T14:04:06.744+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190118637451.parquet -> /tmp/minio_downloads/customers_190118637451.parquet
[2026-07-04T14:04:06.792+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190118704077.parquet -> /tmp/minio_downloads/customers_190118704077.parquet
[2026-07-04T14:04:06.839+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190118757294.parquet -> /tmp/minio_downloads/customers_190118757294.parquet
[2026-07-04T14:04:06.886+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190118804450.parquet -> /tmp/minio_downloads/customers_190118804450.parquet
[2026-07-04T14:04:06.938+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190118859377.parquet -> /tmp/minio_downloads/customers_190118859377.parquet
[2026-07-04T14:04:06.981+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190118909807.parquet -> /tmp/minio_downloads/customers_190118909807.parquet
[2026-07-04T14:04:07.021+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190118962070.parquet -> /tmp/minio_downloads/customers_190118962070.parquet
[2026-07-04T14:04:07.062+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190119013345.parquet -> /tmp/minio_downloads/customers_190119013345.parquet
[2026-07-04T14:04:07.101+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190119066490.parquet -> /tmp/minio_downloads/customers_190119066490.parquet
[2026-07-04T14:04:07.141+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190119139754.parquet -> /tmp/minio_downloads/customers_190119139754.parquet
[2026-07-04T14:04:07.180+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190119263543.parquet -> /tmp/minio_downloads/customers_190119263543.parquet
[2026-07-04T14:04:07.225+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190119390209.parquet -> /tmp/minio_downloads/customers_190119390209.parquet
[2026-07-04T14:04:07.272+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190119463358.parquet -> /tmp/minio_downloads/customers_190119463358.parquet
[2026-07-04T14:04:07.326+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190119548561.parquet -> /tmp/minio_downloads/customers_190119548561.parquet
[2026-07-04T14:04:07.382+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190119628300.parquet -> /tmp/minio_downloads/customers_190119628300.parquet
[2026-07-04T14:04:07.439+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190119731265.parquet -> /tmp/minio_downloads/customers_190119731265.parquet
[2026-07-04T14:04:07.499+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190119816203.parquet -> /tmp/minio_downloads/customers_190119816203.parquet
[2026-07-04T14:04:07.606+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190119905698.parquet -> /tmp/minio_downloads/customers_190119905698.parquet
[2026-07-04T14:04:07.690+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190120040271.parquet -> /tmp/minio_downloads/customers_190120040271.parquet
[2026-07-04T14:04:07.760+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190120132786.parquet -> /tmp/minio_downloads/customers_190120132786.parquet
[2026-07-04T14:04:07.814+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190120201937.parquet -> /tmp/minio_downloads/customers_190120201937.parquet
