[2026-07-04T14:10:07.030+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-04T14:10:07.078+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake_ecommerce.download_minio scheduled__2026-07-04T14:08:00+00:00 [queued]>
[2026-07-04T14:10:07.095+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake_ecommerce.download_minio scheduled__2026-07-04T14:08:00+00:00 [queued]>
[2026-07-04T14:10:07.096+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-07-04T14:10:07.118+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-07-04 14:08:00+00:00
[2026-07-04T14:10:07.130+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake_ecommerce', 'download_minio', 'scheduled__2026-07-04T14:08:00+00:00', '--job-id', '16', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake_dag.py', '--cfg-path', '/tmp/tmp7q2haz7v']
[2026-07-04T14:10:07.135+0000] {standard_task_runner.py:91} INFO - Job 16: Subtask download_minio
[2026-07-04T14:10:07.135+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=9010) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-07-04T14:10:07.136+0000] {standard_task_runner.py:64} INFO - Started process 9017 to run task
[2026-07-04T14:10:07.220+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake_ecommerce.download_minio scheduled__2026-07-04T14:08:00+00:00 [running]> on host 791512f83421
[2026-07-04T14:10:07.350+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake_ecommerce' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-07-04T14:08:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-07-04T14:08:00+00:00'
[2026-07-04T14:10:07.352+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-07-04T14:10:11.376+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190118474101.parquet -> /tmp/minio_downloads/customers_190118474101.parquet
[2026-07-04T14:10:11.405+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190118558805.parquet -> /tmp/minio_downloads/customers_190118558805.parquet
[2026-07-04T14:10:11.433+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190118637451.parquet -> /tmp/minio_downloads/customers_190118637451.parquet
[2026-07-04T14:10:11.460+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190118704077.parquet -> /tmp/minio_downloads/customers_190118704077.parquet
[2026-07-04T14:10:11.486+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190118757294.parquet -> /tmp/minio_downloads/customers_190118757294.parquet
[2026-07-04T14:10:11.512+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190118804450.parquet -> /tmp/minio_downloads/customers_190118804450.parquet
[2026-07-04T14:10:11.538+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190118859377.parquet -> /tmp/minio_downloads/customers_190118859377.parquet
[2026-07-04T14:10:11.565+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190118909807.parquet -> /tmp/minio_downloads/customers_190118909807.parquet
[2026-07-04T14:10:11.590+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190118962070.parquet -> /tmp/minio_downloads/customers_190118962070.parquet
[2026-07-04T14:10:11.617+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190119013345.parquet -> /tmp/minio_downloads/customers_190119013345.parquet
[2026-07-04T14:10:11.645+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190119066490.parquet -> /tmp/minio_downloads/customers_190119066490.parquet
[2026-07-04T14:10:11.673+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190119139754.parquet -> /tmp/minio_downloads/customers_190119139754.parquet
[2026-07-04T14:10:11.702+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190119263543.parquet -> /tmp/minio_downloads/customers_190119263543.parquet
[2026-07-04T14:10:11.731+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190119390209.parquet -> /tmp/minio_downloads/customers_190119390209.parquet
[2026-07-04T14:10:11.761+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190119463358.parquet -> /tmp/minio_downloads/customers_190119463358.parquet
[2026-07-04T14:10:11.791+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190119548561.parquet -> /tmp/minio_downloads/customers_190119548561.parquet
[2026-07-04T14:10:11.819+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190119628300.parquet -> /tmp/minio_downloads/customers_190119628300.parquet
[2026-07-04T14:10:11.846+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190119731265.parquet -> /tmp/minio_downloads/customers_190119731265.parquet
[2026-07-04T14:10:11.871+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190119816203.parquet -> /tmp/minio_downloads/customers_190119816203.parquet
[2026-07-04T14:10:11.897+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190119905698.parquet -> /tmp/minio_downloads/customers_190119905698.parquet
[2026-07-04T14:10:11.922+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190120040271.parquet -> /tmp/minio_downloads/customers_190120040271.parquet
[2026-07-04T14:10:11.948+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190120132786.parquet -> /tmp/minio_downloads/customers_190120132786.parquet
[2026-07-04T14:10:11.975+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190120201937.parquet -> /tmp/minio_downloads/customers_190120201937.parquet
[2026-07-04T14:10:12.002+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190120279098.parquet -> /tmp/minio_downloads/customers_190120279098.parquet
[2026-07-04T14:10:12.029+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190120349697.parquet -> /tmp/minio_downloads/customers_190120349697.parquet
[2026-07-04T14:10:12.054+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190120432051.parquet -> /tmp/minio_downloads/customers_190120432051.parquet
[2026-07-04T14:10:12.080+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190120568706.parquet -> /tmp/minio_downloads/customers_190120568706.parquet
[2026-07-04T14:10:12.104+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190120649298.parquet -> /tmp/minio_downloads/customers_190120649298.parquet
[2026-07-04T14:10:12.130+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190120717788.parquet -> /tmp/minio_downloads/customers_190120717788.parquet
[2026-07-04T14:10:12.158+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190120785337.parquet -> /tmp/minio_downloads/customers_190120785337.parquet
[2026-07-04T14:10:12.189+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190120832918.parquet -> /tmp/minio_downloads/customers_190120832918.parquet
[2026-07-04T14:10:12.224+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190120902521.parquet -> /tmp/minio_downloads/customers_190120902521.parquet
[2026-07-04T14:10:12.255+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190120964409.parquet -> /tmp/minio_downloads/customers_190120964409.parquet
[2026-07-04T14:10:12.284+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190121020503.parquet -> /tmp/minio_downloads/customers_190121020503.parquet
[2026-07-04T14:10:12.311+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190121089337.parquet -> /tmp/minio_downloads/customers_190121089337.parquet
[2026-07-04T14:10:12.338+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190121147140.parquet -> /tmp/minio_downloads/customers_190121147140.parquet
[2026-07-04T14:10:12.367+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190121236766.parquet -> /tmp/minio_downloads/customers_190121236766.parquet
[2026-07-04T14:10:12.394+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190121314374.parquet -> /tmp/minio_downloads/customers_190121314374.parquet
[2026-07-04T14:10:12.421+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190121389208.parquet -> /tmp/minio_downloads/customers_190121389208.parquet
[2026-07-04T14:10:12.448+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190121470589.parquet -> /tmp/minio_downloads/customers_190121470589.parquet
[2026-07-04T14:10:12.475+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190121557173.parquet -> /tmp/minio_downloads/customers_190121557173.parquet
[2026-07-04T14:10:12.501+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190121635672.parquet -> /tmp/minio_downloads/customers_190121635672.parquet
[2026-07-04T14:10:12.527+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190121708765.parquet -> /tmp/minio_downloads/customers_190121708765.parquet
[2026-07-04T14:10:12.551+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190121774496.parquet -> /tmp/minio_downloads/customers_190121774496.parquet
[2026-07-04T14:10:12.577+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190121828872.parquet -> /tmp/minio_downloads/customers_190121828872.parquet
[2026-07-04T14:10:12.603+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190121884665.parquet -> /tmp/minio_downloads/customers_190121884665.parquet
[2026-07-04T14:10:12.628+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190121936133.parquet -> /tmp/minio_downloads/customers_190121936133.parquet
[2026-07-04T14:10:12.654+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190121986968.parquet -> /tmp/minio_downloads/customers_190121986968.parquet
[2026-07-04T14:10:12.679+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190122038502.parquet -> /tmp/minio_downloads/customers_190122038502.parquet
[2026-07-04T14:10:12.704+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190122087552.parquet -> /tmp/minio_downloads/customers_190122087552.parquet
